akz1	akz	akzizWa
kfz	kfz	karza karzaka karzin zi karzU karzaRa karzaRIya kArzi zin kArzman kfzi kfzya kfzwi krazwavya krazwf
kxp	kxp	kalpa kalpaka kalpya kalpana kalpanA kalpanIya kalpitavya kxpti kalpayitf kalpayitavya
knU	knUy	knopana
krakz	krakz	krakza krakzin
kraT	kraT	kraTa kraTana krATa krATin krATana
krand	krand	kranda krandin krandya klanda krandana krandanIya krandanu krandas kanikrada
kram	kram	krama kramin kramya kramaRa kramaRIya kramitavya krAma krAmin krAmya krAmaRa krAmuka krAMti krAMtf caNkrama caNkramaRa krAmayitavya
krI	krI	kraya krayaka krayin krayya krayaRa krayaRIya krAyaka krI krIti kretavya kretf kreya
krIq	krIq	krIqa krIqA krIqin krIqana krIqi krIqitf krIqu cikrIqizA cikrIqizu
kruD	kruD	kruD kruDmi kroDa kroDana kroDanIya
kruS	kruS	kroSa kroZaka kroZin kiroZya kloSa kroSana krozwu krozwf kroSayitf
klam	klam	klama klAMti
klid	klid	klindu kleda kledin kledya kledana kledIyas
kliS	kliS	kleSa kleSaka kleSin kleSana klezwf
kvaR	kvaR	kvaRana
kvaT	kvaT	kvaTa kvaTana kvATa kvATayitavya
kzad	kzad	kzattf kzad kzadman
kzan	kzan	kzaRana kzati
kzap	kzap	kzapaRa
kzam	kzam	kzam kzA kzama kzamA kzamaRIya kzaMtavya kzamitavya kzaMtf kzAmya kzAman kzAmi kzAMti kzmA cAkzma kzamApaRa
kzar	kzar	kzara kzaraRa kzAraRa kzIra
kzal	kzal	kzAla kzAlaka kzAlya kzAlana
kzA	kzE	kzARa kzAti kzAma kzAra
kzi1	kzi	kzaya kzA kzas kzas kzayaRa kzatra kzit kziti kzetf kzetra kzema
kzi2	kzi	kzaya dzayin kzayya kzayaRa kzayizRu kziti kzezRu kzapaRa kzapitavya kzapayitf kzapayizRu kzayayitavya
kzip	kzip	kzip kzipa kzipA kzipaRi kzipaRu kzipti kzipra kzepa kzepaka kzepin kzepya kzepan kzepaRa kzepizWa kzepIyas kzeptavya kzeptf kzepnu cikzipsu
kzu	kzu	kzava kzavaTu
kzud	kzud	kzudra kzoda kzodya kzodas kzodizWa kzodIyas
kzuD	kzuD	kzuD kzuDA kzuDya kzuDi kzoDuka
kzup	kzup	kzupa kzumpa
kzuB	kzuB	kzuB kzuBA kzoBa kzoBaka kzoBin kzoBya kzoBaRA kzoBayitf cukzoBayizu
kzRu	kzRu	kzRut kzRotra
kzviq	kzviq	kzveqa kzveqana
kzvel	kzvel	kzvelana kzveli
KaYj	KaYj	KaYja KaYjana
Kad	Kad	KadA Kadira
Kan	Kan	Ka KA Kana Kanaka Kanana KananIya Kani Kanitf Kanitra Kara KAtf KAnaka KAnya KAni Ku Keya
Karj	Karj	KargalA KarjUra
Kall	Kall	Kalla
KAd	KAd	KAda KAdaka KAdin KAdya KAdana KadanIya KAdas KAditavya KAditf ciKAdizu
Kid	Kid	Kida Kidra KidvANs Keda KedA Kedin Kedana Keditavya Kedayitavya
Kud	Kud	Kodana
Kel	Kel	Kela Kelana Keli
KyA	KyA	Kya KyA KyAti KyAtavya KyAtf KyAna KyAyaka KyAyin Kyeya KyApaka KyApin KyApya KyApana KyApanIya ciKyAsu ciKyApayizA
gad	gad	gada gadya gadana gadi gAdin gAdya gadgada
gaD	gaD	gaDya
gam	gam	gaCa gama gamaka gamin gamya gamana gamanIya gamizWa gamizRu gat gati gaMtva gaMtavya gaMtf gaTa gatnu gatvan gatvara gAmin gAmuka gmA gman jmA jman gamayitf gamayitavya jagat jagmi jigatnu jaNgama jaNgamana jigamizu jigAMsu jigamizA
garj	garj	garja garjin garjana garji
gard	gard	garda
garh	garh	garhA garhin garhya garhaRa garhaRIya garhitavya
gal	gal	galana gAlana
galB	galB	galBa
gA1	gA	gA ga gAtu gAtra gAna gAman gAya gU gezRa gaNgA
gA2	gE	gA ga gAya gAyaka gAyin gAyatra gAyana gAyas gAtu gAtavya gAtf gATa gATA gAna gAman gIti gITa geya gezRa jigITa ta gApana
gAh	gAh	gaha gahana gah gaNhman gahvara gAha gAhin gAhya gAhana gAhanIya gamBan gamBara gamBizWa gaBIra gamBIra gaBvara gADa gADana
gu	gu	gut jogU
guYj	guYj	guYja guYjin
guRW	guRW	guRWana
gup	gup	gup gupya gupti gopya gopana gopanIya goptavya goptf gopizWSa jugupsA jugupsu jugupizu
guP	guP	gumPa gumPaka gumPana
gur	gur	gur guraRa gUraRa gUrti goraRa gUrayitf jugurvaRi
guh	guh	guh guha guhA guhya gUha gUhana gUhitavya gUhitf goha gohana gohya
gUrd	gUrd	gUrda
gf1	gF	gara garaRa garitf gir gira gIrya
gf2	gF	gara gala garaRa garas gAra gArin gir gira gila giraRa gilana gra gri gargara jIgarta jigarti
gf3	jAgf	jAgara jAgaraka jAgaraRa jAgarizRu jAgarUka jAgartava jAgftavya jAgfvi
gfD	gfD	gftsa garDa garDin gfDna gfDnu gfDya gfDyA gfDyin gfDra
graT	graT	graTin graTya graTana graTanIya graTitavya graTna granTa granTin granTana granTi
graB	grah	graBa graha grahin garBa graBaRa grahaRa grahaRIya grahi grahizRu grahItavya graBItf grahItf grABa grAha grAhaka grAhin grAhya grAhi grAhuka gfB gfh gfBa gfha gfhya gfBi gfhu gfhIti jiGfkzA jiGfkzu grAhayitavya
gras	gras	grasya grasana grasizWa grasizRu grasti grastf grAsa grAsaka
glah	glah	glaha glahA glahana
glA	glE	glA glAni glAvin glAsnu glApana glapana
Gaw	Gaw	Gawa Gawaka Gawana GawanA GAwa GAwaka GAwin GAwana GAwanIya GAwi Gawayitavya
Gaww	Gaww	Gawwa Gawwin Gawwana Gawwitf
Gas	Gas	kzu Gasa Gasana Gasmara Gasra Gasvara Gasi GAsa GAsin GAsya GAsi gDi jiGatsA jiGatsu
Guw	Guw	Gowa
Guz	Guz	Guza Guzya Goza Gozaka Gozin GozaRa GozaRA GozaRIya Gozi Gozwf
GUrR	GUrR	GUrRa GUrRana
Gf	Gf	Gara GArin GAraRa jaGri Garma GfRa GfRA GfRi
Gfz	Gfz	Garza Garzin GarzaRa Gfzwi Gfzu Gfzva Gfzvi
GrA	GrA	Gra GrARa GrAti GrAtavya GrAtf Greya jiGra jiGraRa GrApaRa
cakz	cakz	cakz cakzA cakzin cakzya cakzan cakzaRa cakzaRi cakzas cakzu cakzus
caw	caw	cAwa cAwana cAwanIya
cat	cat	cat catin cAtana catnuka
can	can	canas canizWa cAru
cam	cam	camaka cAma camana camasa camU cAMti
car	car	cara carA caraka carya caryA caraTa caraRa caraRi caraRIya careRya caritavya cartavya caritf cartitra carizRu carzaRa carzaRi cAra cAraka cArin cArya cAraRa cAraRIya cAruka ceru cacara carcara carAcara cArayitavya cArayitf cicarizu
carc	carc	carcA carcaka carcana carci carcI
carv	carv	carvya carvaRa carvaRA cUrRi
cal	cal	cala calaka calAka calana calI calU calitavya cAla cAlin cAlya cAlana cAcala cAcali caYcala calAcala cicalizu
cAy	cAy	cAyanIya cAyitf cAyu citi
ci1	ci	kAya caya cayana cayanIya cayitavya cayizWa cAya cAyin cAyya cit citya cityA citi cIti cetavya cetf ceya cicIzA
ci2	ci	caya cayana cAyaka cAyin cit citi cetavya cetf ceya cira
cit	cit	keta ketana ketu cit citi citti citti citra cetya cetana cetanA cetas cetizWa cetu cetuna cettf cetyA cikit cikiti cikitu cikitvan cikitvit ciketas cikita cikitsA cikitsaka cikitsya cikitsana cikitsanIya cikitsu cetayitavya cetayitf
cint	cint	cintA cintaka cintin cintya cintana cintanIya cintitf cintayitavya
cud	cud	coda coda codaka codin codya codana codanA codanIya codas coditf codizWa codayitavya codayitf
cup	cup	cumpuna
cumb	cumb	cumbA cumbaka cumbin cumbana
cur	cur	cora coraka corayitavya
cUz	cUz	cUzin cUzya cUzaRa coza cozya cozaRa
cft	cft	cartya cartana cft cftya
cezw	cezw	cizwu cezwa cezwA cezwana cezwitavya cezwayitf
cyu	cyu	cyava cyavana cyavas cyavIyas cyAva cyAvana cyAvuka cyut cyuti cyOtna cyAvayizRu cyAvayitavya
Cand	Cad	Cad Canda Canda Candaka Candya Candana Candas Candu
CA	Co	CavI vi CAna
Cid	Cid	Cid CidA Cidura Citti Cidra Ceda Cedaka Cedin Cedya Cedana CedanIya Cettavya Cettf ciCitsu
Cur	Cur	CuraRa
Cfd	Cfd	Cardana CardanIya Cardi Cardis Cardayitavya
jakz1	jakz	jagDi
jan	jan	gnA jana jana janaka janya janana janas ja ja jAti jani janI janu janU janus jantu jantva janitva janitavya jAtu jAtU jAtf jAna janitf janitra janman janiman janizWa janizRu janizya jAni jAman jAmA jAmi jenya jAnuka jajYi janayati janayitavya janayitf janayizRu jijanayizitavya jAyA jAyin jAvan jAvara
jap	jap	japa japin japya japana japanIya japtavya jApa jApaka jAPin jApya jaYjapa jaYjapUka
jamB	jaB	jamBa jamBa jamBaka jaBya jamBana
jalp	jalp	jalpa jalpaka jalpin jalpya jalpana jalpi jalpitf jarjalpa
jas	jas	jasu jasuri jasra jasvan
ji1	ji	jaya jayin jayya jayana jayus ji jit jityA jiti jitvan jitvara jina jizRu jayizRu jetva jetavya jetf jayitf jeman jeman jeya jeza jezin jAyin jAyu jAyuka jigyu jigIzA jigIzin jigIzu jApayitf
ji2	jinv	jIra jIri jinva
jIv	jIv	jIva jIvaka jIvin jIvya jIvana jIvanIya jIvas jIvAtu
juz	juz	jus juza juzwi joza jozya jozaRa jozas jozwf jozayitavya jozayitf
jU	jU	java javin javana javas javizWa javIyas juvas jU jUti
jf1	jur	jara jarA jaraRa jaraRi jaras jariman jarUTa jAra jAraRa jirvi jivri jIrti jIrRi jur jurya jUrya jUrRi jaguri jarjara jarayitf jarayu jarAyu jarizRu
jf2	jF	jaraRA jarA jaritf jUrRi
jYA1	jYA	jAnaka jYA jYa jYAs jYAna jYAti jYAtavya jYAtf jYAtra jYAya jYeya jajYi jijYu jYapya jYapana jYapti jYApaka jYApya jYApana jYApanIya jYApayitavya jijYAsA jijYAsya jijYAsana jijYAsenya jijYAsitavya jijYAsu
jyA	jyA	jIti jyA jya jyAna jyAni jyAya jyeya jyeya jyAyuka jyAyas jyezWa jyAyizWa
jyut	jyut	jyuti jyotA jyotana jyotaya jyotis jyotanA
jri	jri	jraya jrayas jrayasAna jri
jfmB	jfmB	jfmBa jfmBA jfmBaka jfmBin jfmBaRa
jvar	jvar	jvara jvAra
jval	jval	jvala jvalana jvalitf jvAla jvAlA jAlin jvAlana
waNk	waNk	waNka
qamb	qamb	qamba qambaka qambin qamb ya qambana
qI	qI	qayana qIyana qItara qiyAna qIyAna
QOk	QOk	QOkana
tak	tak	takana taku takavAna takri takva takvan takvarI
takz	takz	takza takzaka takzya takzan takzaRa tazwi tazwf
taMs	taMs	taNsa taNsana taNsu tasara tasti tantasAyya titau
taYc	taYc	taNka taNkya taYcana takman takra
taq	taq	taqit tAqa tAqaka tAqin tAqya tAqana tAqanIya tAqayitf
tan1	tan	tan tana tanA tanaya tanas tani taniman tanizWa tanIyas tanu tanU tanus tanti tati tantu tanitf tantra tatni tatnI tatnu tA tAna tAnaka tAnuka tAyitf tatanuzwi tena titANsu
tan2	tan	tanyatA tanyatu tanyu tanayitnu
tand	tand	tandra tandri tandrI
tap	tap	tap tapa tapya tapana tapana tapanI tapas tapu tapus tapuzi tapuzI tapti taptavya taptf tapizWa tapizRu tapIyas tapyatu tApa tApaka tApin tApya tApana tApitf tApayitf tApayizRu
tam	tam	tamaka tamana tamas tamI tamizIci tamisra tAMti tameru tamra tAma tAmaka tAmI tAmra
tark	tark	tarka tarkA tarkaka tarkin tarky a tarkaRa tarkaRIya tarkuka
tarj	tarj	tarjaka tarjana tarjanA
tij	tij	tikti tigita tigma tIkzRa tega teja tejana tejas tejizWa tejIyas titikzA titikzu
tim	tim	timi timira
tu	tu	tavA tavya tavya tavas tavas taviza tavizI tavIyas tavyas tIvra tumra tura tuvi tuvis tUya tUtuma
tuj	tuj	tuj tujya tuji tuYja tugra tugvan tuNga tUtuji
tud	tud	tud tuda tunda toda todin todya todana tottra
turv	turv	turva turvan turvaRi turvIti tUrvi
tul	tul	tula tulA tulya tulana tolaka tolya tolana
tuS	tuS	toSa toSana toSas
tuz	tuz	tuzwi tUzRIm toza tozaka tozin tozya tozaRa tozaRIya tozwavya tozayitavya tozayitf
tf	tF	tara tarin tarya tari tarI taraRa taraRIya taraRi taraTa tira tur tura turaRa taras taras tarIyas taru taruRa tarus taruza tarUzas tiras turas turi turyA tartavya taritavya tarItu tarItf tarutf tarutra taritra tarman tIra tIrTa tUrti tUrRi tUrya toraRa tAra tAraka tArin tArya tAraRa tAraRIya tArayitf titIrzA titIrzu taturi tartura tuturvaRi
tfd	tfd	tarda trada tardana tardi tardman tfd tftti tfRman tfdila tftsu
tfp	tfp	tarpaka tarpya talpa tarpaRa tarpaRIya tfp tfpa tfpala tfpti tfpti tfpra tfpsu tAtfpi tarpayitavya
tfz	tfz	tarza tarzyA tarzaRa tarzula tfz tfzA tfzyA tfzu tfzRA tfzRaj
tfh	tfh	tarhaRa
tyaj	tyaj	tyaj tyaja tyajya tyajana tyajas tyajas tyaktavya tyaktf tyAga tyAgin tyAjaka tyAjya tyAjana
trap	trap	tfpra trapa trapA trapaRa trapaRIya trapu
tras	tras	trasa trasana trasara trasnu trAsa trAsaka trAsin trAsana trAsanIya trAsuka
trA	trE	trA tra trARa trAtavya trAtf trAtra trAman trAvan trayayAyya
truw	truw	truwi trowaka
tvakz	tvakz	tvakzaRa tvakzas tvakzIyas tvazwi tvazwf
tvar	tvar	tvara tvarA tvaraRa tvaraRIya
tviz	tviz	tviz tvizA tvizi tveza tvezin tvezya tvezaTa tvezas
tsar	tsar	tsarA tsaru tsAra tsArin
dakz	dakz	dakza dakzas dakzAyya dakziRa
daG	daG	daG daGna daGvan
daMS	daMS	daNSa daNSaka daNSin daNSana daNSuka daNzwf daNzwra daNzwrA daNSman daNkzRu daSA daSana
daMs	daMs	daNsa daNsana daNsanA daNsas daNsizWa daNsu dasmant dasma dasra
daB	daB	daBa daBya daBIti dabDi daBna daBra dABa dABya damBa damBaka damBin damBana dipsu
dam	dam	dam dama dama damaka damin damya damatra damana damitf damayitf
day	day	dayA dayitnu
dal	dal	dala dalana dAla dAlaka dAlana dAlya dAli dalayitf
dAS	dAS	dAS dASa dASu dASuri
das	das	dasa dasya dasvant dasyu dAsa dAsin dAsanu dAsuka
dah	dah	dah dahati dahana dagDavya dagDf dakzI dakzu Dakzu dakzus dAGa dAha dAhaka dAhin dAhya dAhana dAhuka diDakzA diDakzu
dA1	dad	dA da dAti tti dAtavya dAtf dAtra dAna dAna dAman dAman dAya dAyaka dAyin dAvan dAvan dAnu deya deya dAs das di diya dezWa dezRa dad dada datti datra dAda daditf dadi ditsA ditsu diditsu dApin dApya dApana dApanIya dApayitavya dApayitf
dA2	dA	tti dAtu dAtavya dAtf dAtra dAna dAna dAnIya dAnu dAya diti deya
dA3	dA	dAtf dAna dAman dAman dAya di diti dIna
dA4	dE	dAna
diS	diS	diS dizwi deSa deSaka deSin deSya deSana deSanA dezwavya dezwf dezwra didikzA didikzu
dih	dih	dih deGa deha dehI dehikA dehya dehalI
dI2	dI	dIti dIditi dIdi dIdivi dIDiti
dIkz	dIkz	dIkzA dIkzaka dIkzaRa dIkzayitf
dIp	dIp	dIpa dIpaka dIpin dIpana dIpti dIpra
dIv1	div	dIv dyU dIvan dIvana deva devana devin devitavya devitf dyUtya
dIv2	div	deva devaka devin devana
du	du	dava davya davaTu dAva dAvya dUyana doman
duD	duD	duDi duDra doDaka
dul	dul	dulA dola
duz	duz	dus duzwi dUza dUzaka dUzin dUzya dUzaRa dUzi doza dozA dozin dozya dozas dUzayitf
duh	duh	duh duG duha duGa duhitf doha doGa dohaka dohin dohya dohana dohana dohas dohas dogDavya dogDf dogDra duDukzu
df1	dF	dara daraRa daraRIya dari darIman dartf dartnu darman darma dAra dAraka dArin dAraRa dAri dAru dAruRa dir dura dfti dfvan dra driya dadru dardira
df2	df	dara darin daraRa daraRIya dartavya dAra duri dftya
dfp	dfp	darpa darpaka darpin darpaRa dfpti
dfB	dfB	darBa dfBIka darBaRa
dfS	dfS	darSa darSa darSaka darSin darSya darSata darSana darSanIya dfS dfSa dfSya dfSati dfSi dfSIka dfSIku dfSenya dfzwi dfSna dfSvan dfkza drazwavya drazwf dreSya didfkzA didfkzu didfkzeya didfkzeRya darSayitf
dfh	dfMh	dfh dfNha dfNhaRa dfNhitf drahyat
dyut	dyut	dyut dyuta dyuti dyota dyotaka dyotin dyotya dyotana dyotana dyotani dyotis dyotman didyut dyotayitavya
drA1	drA	dra drAk drApi daridra
drA2	drE	drA didrAsu
dru	dru	drava dravya dravaRa dravara dravi dravitf dravitnu draviRa drAva drAvin drAvya drAvaRa dru druti drAvayitnu
druh	druh	druh druhya druhu druhyu druhiRa druhvan droGa droha drohin drogDavya drogDf duDrukzu
dviz	dviz	dviz dviza dvizeRya dvizwi dveza dvezaka dvezin dvezya dvezaRa dvezaRIya dvezas dvezwf
Dan	Dan	DanizWa
Danv	Danv	Danutf
Dam	Dam	Dama Damana Damani Damitra Dma DmA DmAna DmAnIya DmAtavya DmAtf DmApana
Dav	Dav	DavIyas
DA2	De	DA Daya DAtu DAyin DAyas DAyu DAru DAsi DAsyu DenA Denu daDan daDi
DA1	DA	Da DA DAna DAnA DAnIya DAtu DAtavya DAtf DAman DAya DAyaka DAyin DAyya DAyu DAsi Das Di Diti hiti Deya Deya DezWa daDa daDi daDus daDizu diDizu diDizAyya DitsA Ditsu DApana DApayitavya
DAv1	DAv	DAvaka DAvin DAvana DAvitf DArA
DAv2	DAv	DAva DAvaka DAvin DAvana DOti DArA
DI	dIDI	DI DIti DIra DIvan DiyasAna dIDayu dIDiti
Dukz	Dukz	DukzaRa
DU	DU	Du Dava Davana DAva Davitavya Davitra Duvaka Duvana DUti Duti Duni DUnana
Df	Df	Dara DaraRa DaraRIya DaraRi DaruRa Dartu DarItu Dartf Dartra Daritf DarRasi DarRi Darman Darman Darma Dariman DarIman DarIyas DAra DAraka Darin DArya DAraRa DAraRIya DAri DIra Dur Dura Dft Dfk Dfti Dftvan Dra Dri Druva Druvas Druvi dADfvi dfDra diDIrzA diDIrzu DAraya DArayu DArayitavya DArayitf DArayizRu diDArayizA
Dfz	Dfz	Darza Darzaka Darzin Darzya DarzaRa DarzaRIya Dfz Dfzaj Dfzwi DfzRu Dfzya daDfza dADfzi daDfzvaRi Darzayitavya
DyA	DyE	DyA DyAyin DyAna DyAtavya DyAtf Dyeya diDyAsana diDyAsitavya diDyAsu
Draj	Draj	Drajati Drajas Draji DrAj DrAja DrAji DrAji
DvaMs	DvaMs	Dvasa Dvasan Dvasani Dvasanti Dvasira Dvasti Dvasman Dvasra DvaNsa DvaNsaka DvaNsin DvaNsana DvaNsi
Dvan	Dvan	Dvana Dvanya Dvani Dvanana DvAna Duni danDvana
Dvf	Dvf	Dur DUrti DoraRa Dru Drut Druti DvarA Dvaras Dvartavya Dvft
nakz	nakz	nakzatra nakzya
naw	naw	nawa nawana nawanIya nAwa nAwaka nAwin nAwayitavya
nad	nad	nada nadI nadin nadaTu nadanu nAda nAdin nAdi nAdana nAnada
nand	nand	nanda nandaka nandin nandya nandana nandanIya nandi nanditf nandaTu nAndana nAndI nAnduka nanAndf nandayitavya nandayitf
naB	naB	naB naBanu naBanU naBanya naBas naBAka naBya nAB nABi
nam	nam	nam nama namana namanIya namas namasAna namI nati naMtva naMtf namra nAma nAmaka nAmin nAmya nAmana nAmuka nemi nannama ninaMsu namayitavya namayitf namayizRu
nard	nard	narda nardin nardana
naS1	naS	naS naNSin naSana naNSuka nazwi naSvara nASa nASaka nASin nASya nASana nASuka nAzwrA nASayitf
naS2	naS	naNSa naNSana naSa nASa
nah	nah	nah naD nahana nahas nahus nadDi nadDavya nAha nAhya nAhana nAhuka
nAT	nAT	nATa nADa nADas
nikz	nikz	nikzaRa nIkzaRa nekzaRa
niMs	niMs	niNsin
nij	nij	nij nikti neka nega neja nejaka nejya nejana nektf
nind	nind	nid nidA nedya nindA nindaka nindin nindya nindana nindanIya ninditf ninitsu
nI	nI	nI naya nayin nayana nAya nAyaka nAyin nAyya nAyana nIti netavya nayitavya netf nayitf netra nITa nITA neman nIya neya nayizWa neza nezwf nenI ninIzA ninIzu ninIzeRya
nu1	nu	nava navya navana navizwi nAva nuti nonuva
nud	nud	nud nuda nutti noda nodaka nodin nodya nodana nottavya nunutsu nodayitavya
nft	nft	nft nftya narta nartaka nartin nartana nfti nfti nftu nftU nftti nartitavya nartayitf ninartizA
ned	ned	neda
pac	pac	pac paca pacya pacana pacata pacatya pakti pakti paktavya paktf paktrima pakTa pakTin pakva pacelima pAka pAkin pAkya pAcaka pAcin pAcya pAcana pAcayitf
paj	paj	pajra pAjas
paw	paw	pAwa pAwaka pAwin pAwya pAwana pAwanIya
paW	paW	paWaka paWana paWanIya paWitavya paWiti pAWa pAWaka pAWin pAWya PAWana
paR	paR	paRa paRin paRya paRana paRI paRAyya vaRij paRitf pARa pARi paRayitf
pat1	pat	pat pata patana ptu patAka patitavya pattra atatra patman patya patvan patara pataru patizWa patizRu patIyas pAta pAtaka pAtin pAtya pAtana pAtanIya pAtuka paptani patApata pipatizu pitsu patayAlu patayizRu pAtayitf
paT	paT	paT panTA paTan pATas pATis
pad	pad	pad pAd pada padana padanIya padi patti pattavya pattf padva pAda pAdaka pAdin padya pAdana pAdanIya pAdu pAduka pitsA pitsu patsu pAdayitavya pAdayitf pipAdayizA pipAdayizu
pan	pan	pana panya panAyya panas panu panitf panizwama panizwi panizWa panIyas panyas panyA panyu panayAyya
